세무서명,도로명 주소,우편번호,전화번호,팩스번호,세무서코드,계좌번호,관할구역
서울청,서울특별시 종로구 종로5길 86 (수송동),03151,02-397-2200,02-722-0528,100,011895,서울특별시 전체
종로,서울특별시 종로구 삼일대로 30길 22,03133,02-760-9200,02-744-4939,101,011976,종로구 전역(87개동)
중부,서울 중구 소공로 70,04535,02-2260-9200,02-2278-0582,201,011989,"광희동 1,2가,  남대문로 2가,  남산동 1,2,3가,  남학동,  명동 1,2가,  무학동,  묵정동,  방산동,  
신당1동∼6동,  쌍림동,  예관동,  예장동,  오장동,  을지로 6,7가,  인현동 1,2가,  장충동 1,2가,  
주자동,  초동,  충무로 1,2,3,4,5가,  필동 1,2,3가,  황학동,  흥인동."
남대문,서울특별시 중구 삼일대로 340 (저동1가) 나라키움저동빌딩,04551,02-2260-0200,02-755-7114,104,011785,"소공동남창동(남대문시장)북창동 
회현동1-3가봉래동1,2가남대문로1,3,4,5가
태평로1,2가 저동1,2가을지로1-5가
삼각동수하동장교동산림동다동
무교동 수표동 주교동    정동서소문동
의주로1,2가    순화동만리동1,2가 중림동 충정로1가
"
용산,서울특별시 용산구 서빙고로24길15 (한강로3가),04388,02-748-8200,02-792-2619,106,011947,용산구 전체
성북,서울 성북구 삼선교로 16길 13,02863,02-760-8200,02-744-6160,209,011918,서울특별시 성북구
서대문,서울특별시 서대문구 세무서길11 (홍제동),03629,02-2287-4200,02-379-0552,110,011879,서대문구
마포,서울특별시 마포구 독막로 234,04137,02-705-7200,02-717-7255,105,011840,마포구 전역(행정동 24개)
영등포,서울특별시 영등포구 선유동1로 38 (당산동3가),07261,02-2630-9200,02-2678-4909,107,011934,"영등포구(신길동, 도림동, 대림동 제외)"
강서,서울특별시 강서구 마곡서1로 60 (마곡동),07209,02-2630-4200,02-679-8777,109,012027,강서구 전체
양천,서울특별시 양천구 목동동로 165 (신정동),08013,02-2650-9200,02-2652-0058,117,012878,양천구 전체
구로,서울특별시 영등포구 경인로 778 (문래동1가),07363,02-2630-7200,02-2679-6394,113,011756,구로구 전체(신도림동등 19개동)
동작,서울특별시 영등포구 대방천로 259 (신길동),07432,02-840-9200,02-831-4137,108,000181,"서울특별시 동작구 전체, 영등포구 중 신길동, 대림동, 도림동"
금천,서울특별시 금천구 시흥대로152길 11-21 (독산동),08536,02-850-4200,02-861-1475,119,014371,금천구 전체
관악,서울특별시 관악구 문성로 187(신림동 438-2),08773,02-2173-4200,02-2173-4269,145,024675,관악구 전체
강남,서울특별시 강남구 학동로 425 (청담동),06068,02-519-4200,02-519-4610,211,180616,"강남구 중 신사동, 압구정동, 논현동, 청담동"
삼성,"서울특별시 강남구 테헤란로 114 (역삼동) 역삼빌딩 5,6층",06233,02-3011-7200,02-564-1129,120,181149,"서울특별시 강남구 삼성동,대치동,개포동,수서동,일원동,세곡동,자곡동,율현동"
서초,"서울특별시 강남구 테헤란로 114 (역삼동) 역삼빌딩 3,4층",06233,02-3011-6200,02-563-8030,214,180658,"서초구 서초동, 양재동, 우면동, 원지동, 염곡동, 신원동, 내곡동"
역삼,"서울특별시 강남구 테헤란로 114 (역삼동) 역삼빌딩 7,8층",06233,02-3011-8200,02-561-6684,220,181822,"강남구 역삼동, 도곡동"
반포,서울특별시 서초구 방배로 163 (방배동),06693,02-590-4200,02-536-4083,114,180645,"서초구 방배동,  반포동,  잠원동"
성동,서울특별시 성동구 광나루로 297 (송정동),04802,02-460-4200,02-468-8455,206,011905,서울특별시 성동구 · 광진구 전체
동대문,서울특별시 동대문구 약령시길 159 (청량리1동),02489,02-958-0200,02-967-7593,204,011824,서울특별시 동대문구 
도봉,서울특별시 강북구 도봉로 117 (미아동),01177,02-9440-200,02-984-2580,210,011811,"강북구, 도봉구 창동 제외"
강동,서울특별시 강동구 천호대로 1139 강동그린타워(길동 459-3),05355,02-2224-0200,02-487-7102,212,180629,강동구 전역
송파,서울특별시 송파구 강동대로 62 (풍납동),05506,02-2224-9200,02-409-8329,215,180661,"서울시 송파구 중 거여, 문정, 장지, 마천, 송파, 가락, 석촌"
노원,서울특별시 도봉구 노해로69길 14 (창동),01415,02-3499-0200,02-992-0574,217,001562,"서울특별시 노원구 전지역, 도봉구 중 창동"
잠실,"서울특별시 송파구 강동대로 62 (풍납동, 송파세무서 청사 2층)",05506,02-2055-9200,02-2224-9181,230,019868,"잠실, 신천, 삼전, 방이, 오륜, 오금, 풍납동"
중랑 ,서울특별시 중랑구 망우로 176(상봉동 137-1),02118,02-2170-0200,02-493-7315,146,025454,서울특별시 중랑구 
은평,서울특별시 은평구 서오릉로7(응암동84-5), 03460,02-2132-9200,,147,026165,은평구 
중부청,경기도 수원시 장안구 경수대로 1110-17 (파장동),16206,031-888-4200,031-888-7612,200,000165,"경기도, 인천광역시, 강원도 전체"
인천,인천광역시 동구 우각로 75 (창영동),22564,032-770-0200,032-763-9007,121,110259,"인천광역시 동구, 중구, 남구, 옹진군"
북인천,인천광역시 계양구 효서로244(작전동 422-1) ,21120 ,032-540-6200,032-542-3410,122,110233,"인천광역시 부평구, 계양구"
서인천,인천광역시 서구 서곶로369번길 17 (연희동),22721,032-560-5200,032-561-5777,137,111025,"인천광역시 서구 · 강화군,경기도 김포시"
남인천,인천광역시 남동구 인하로 548 (구월동),21582,032-460-5200,032-463-5778,131,110424,"인천시 남동구, 연수구"
부천,경기도 부천시 원미구 계남로 227 (중동),14535,032-320-5200,032-328-6931,130,110246,경기도 부천시
안양,경기도 안양시 만안구 냉천로 83 (안양동),14090,031-467-1200,031-467-1300,123,130365,"안양시 만안구, 군포시"
동안양,경기도 안양시 동안구 관평로202번길 27 (관양동),14054,031-389-8200,031-389-8230,138,001591,"안양시 동안구, 과천시, 의왕시"
안산,경기도 안산시 단원구 선부광장로 23 안산세이브시티빌딩 (선부동),15354,031-412-3200,031-487-4740,134,131076,안산시
수원,경기도 수원시 팔달구 매산로 61 (매산로3가),16456,031-250-4200,031-258-9411,124,130352,"수원시 장안구, 팔달구, 권선구"
동수원,경기도 수원시 영통구 청명남로 13 (영통동),16704,031-695-4200,031-273-2416,135,131157,"수원시 영통구, 화성시 일부(동탄면, 기안동, 배양동, 반송동, 반월동, 석우동, 능동, 병점동, 
기산동, 반정동, 진안동, 송산동, 안녕동, 황계동), 오산시"
평택,경기도 평택시 죽백6로6 (죽백동 796),17862,031-650-0200,031-658-1116,125,130381,"경기도 평택시, 안성시"
성남,경기도 성남시 수정구 희망로 480 (단대동),13148,031-730-6200,031-736-1904,129,130349,"성남시 중 수정구, 중원구"
이천,경기도 이천시 부악로 47 (중리동),17380,031-644-0200,031-634-2103,126,130378,"이천시, 여주시, 양평군"
의정부,경기도 의정부시 의정로 77 (의정부동),11622,031-870-4200,031)875-2736,127,900142,"경기도 의정부시, 양주시"
포천,경기도 포천시 소흘읍 송우로 75,11177,031-538-7200,031-544-6090,231,019871,"포천시, 동두천시, 연천군, 철원군"
남양주,경기도 구리시 안골로 36 (교문동),11934,031-550-3200,031-566-1808,132,012302,"구리시, 남양주시, 가평군"
고양,경기도 고양시 일산동구 중앙로1275번길 14-43 (장항동) ,10401,031-900-9200,031-907-0674,128,012014,고양시
파주,경기도 파주시 금릉역로 62 (금촌동),10915,031-9560-200,02-957-0315,141,001575,경기도 파주시 전역
시흥,경기도 시흥시 마유로 368 (정왕동),15055,031-310-7200,02-314-3973,140,001588,경기도 시흥시
용인,경기도 용인시 처인구 중부대로1161번길 71 (삼가동),17019,031-329-2200,031-321-1625,142,002846,"용인시 수지구, 처인구"
화성,경기도 화성시 봉담읍 참샘길 27 (와우리),18321,031-8019-1200,031-8019-8247 ,143,018351,"화성시 (기배동, 화산동, 진안동, 반월동, 병점1,2동, 동탄1,2,3동, 동탄면 제외) "
분당,경기도 성남시 분당구 황새울로 311번길 11,13595,031-219-9200,032-219-9000 ,144,018364,성남시 분당구
춘천,강원도 춘천시 중앙로 115 (중앙로3가),24358,033-2500-200,033) 252-3589,221,100272,"춘천시, 화천군, 양구군"
홍천,강원도 홍천군 홍천읍 생명과학관길 50,25142,033-432-7911,033-433-1889,223,100285,"강원도 홍천군, 인제군"
원주,강원도 원주시 북원로 2325 (단계동),26411,033-740-9200,033-746-4791,224,100269,"원주시, 횡성군, 평창군 중 봉평면, 대화면, 방림면"
영월,강원도 영월군 영월읍 하송안길 49,26235,033-370-0200,033-374-2100,225,150183,"강원도 영월군, 정선군(임계면 제외), 평창군 중 평창읍,미탄면 관할
"
삼척,강원도 삼척시 교동로 148 (교동),25924,033-570-0200,033-574-5788,222,150167,"삼척시, 동해시, 태백시(태백지서 관할)"
강릉,강원도 강릉시 수리골길 65 (교동),25473,033-610-9200,033-641-4186,226,150154,"강릉시. 평창군중 대관령면,진부면,용평면 및 정선군 중 임계면"
속초,강원도 속초시 수복로 28 (교동),24855,033-639-9200,033-633-9510,227,150170,"속초시, 고성군, 양양군"
